"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"KEGGgraph","KEGGgraph","/home/jupyter/.R/library","1.56.0",NA,"R (>= 3.5.0)","methods, XML (>= 2.3-0), graph, utils, RCurl, Rgraphviz",NA,"RBGL, testthat, RColorBrewer, org.Hs.eg.db, hgu133plus2.db,
SPIA",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"KEGGREST","KEGGREST","/home/jupyter/.R/library","1.36.3",NA,"R (>= 3.5.0)","methods, httr, png, Biostrings",NA,"RUnit, BiocGenerics, knitr, markdown",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"lambda.r","lambda.r","/home/jupyter/.R/library","1.2.4",NA,"R (>= 3.0.0)","formatR",NA,"testit",NA,"LGPL-3",NA,NA,NA,NA,"no","4.2.1"
"latticeExtra","latticeExtra","/home/jupyter/.R/library","0.6-30",NA,"R (>= 3.6.0), lattice","grid, stats, utils, grDevices, png, jpeg, RColorBrewer,
interp, MASS",NA,"maps, mapproj, deldir, quantreg, zoo, mgcv",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"limma","limma","/home/jupyter/.R/library","3.52.2",NA,"R (>= 3.6.0)","grDevices, graphics, stats, utils, methods",NA,"affy, AnnotationDbi, BiasedUrn, Biobase, ellipse, GO.db,
gplots, illuminaio, locfit, MASS, org.Hs.eg.db, splines,
statmod (>= 1.2.2), vsn",NA,"GPL (>=2)",NA,NA,NA,NA,"yes","4.2.1"
"locfit","locfit","/home/jupyter/.R/library","1.5-9.6",NA,"R (>= 4.1.0)","lattice",NA,"interp, gam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"lpSolveAPI","lpSolveAPI","/home/jupyter/.R/library","5.5.2.0-17.8",NA,NA,NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.2.1"
"mail","mail","/home/jupyter/.R/library","1.0",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.2.1"
"mapproj","mapproj","/home/jupyter/.R/library","1.2.8",NA,"R (>= 3.0.0), maps (>= 2.3-0)","stats, graphics",NA,NA,NA,"Lucent Public License",NA,NA,NA,NA,"yes","4.2.1"
"maps","maps","/home/jupyter/.R/library","3.4.0",NA,"R (>= 3.5.0)","graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, rnaturalearth",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.1"
"maptools","maptools","/home/jupyter/.R/library","1.1-4",NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat.geom (>= 1.65-0), PBSmapping,
maps, RColorBrewer, raster, polyclip, plotrix, spatstat.linnet
(>= 1.65-3), spatstat.utils (>= 1.19.0), spatstat (>= 2.0-0)","gpclib","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"Matrix","Matrix","/home/jupyter/.R/library","1.5-1","recommended","R (>= 3.5.0)","methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc, igraph, maptools, sp,
spdep","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.2.1"
"MatrixGenerics","MatrixGenerics","/home/jupyter/.R/library","1.8.1",NA,"matrixStats (>= 0.60.1)","methods",NA,"sparseMatrixStats, DelayedMatrixStats, SummarizedExperiment,
testthat (>= 2.1.0), Matrix",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"MatrixModels","MatrixModels","/home/jupyter/.R/library","0.5-1",NA,"R (>= 3.6.0)","stats, methods, Matrix (>= 1.4-2)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"matrixStats","matrixStats","/home/jupyter/.R/library","0.62.0",NA,"R (>= 2.12.0)",NA,NA,"base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.1"
"mclust","mclust","/home/jupyter/.R/library","5.4.10",NA,"R (>= 3.0)","stats, utils, graphics, grDevices",NA,"knitr (>= 1.12), rmarkdown (>= 0.9), mix (>= 1.0), geometry
(>= 0.3-6), MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"methylKit","methylKit","/home/jupyter/.R/library","1.22.0",NA,"R (>= 3.5.0), GenomicRanges (>= 1.18.1), methods","IRanges, data.table (>= 1.9.6), parallel, S4Vectors (>=
0.13.13), GenomeInfoDb, KernSmooth, qvalue, emdbook, Rsamtools,
gtools, fastseg, rtracklayer, mclust, mgcv, Rcpp, R.utils,
limma, grDevices, graphics, stats, utils","Rcpp, Rhtslib (>= 1.13.1), zlibbioc","testthat (>= 2.1.0), knitr, rmarkdown, genomation,
BiocManager",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.1"
"msigdbr","msigdbr","/home/jupyter/.R/library","7.5.1",NA,"R (>= 3.4)","babelgene, dplyr (>= 0.7.0), magrittr, rlang, tibble,
tidyselect",NA,"knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"multcomp","multcomp","/home/jupyter/.R/library","1.4-20",NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5), fixest (>= 0.10)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.1"
"mvtnorm","mvtnorm","/home/jupyter/.R/library","1.1-3",NA,"R(>= 3.5.0)","stats, methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.1"
"network","network","/home/jupyter/.R/library","1.17.2",NA,"R (>= 2.10), utils","tibble, magrittr, statnet.common (>= 4.5), stats",NA,"sna, testthat, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"networkDynamic","networkDynamic","/home/jupyter/.R/library","0.11.2",NA,"R (>= 3.0.0), network (>= 1.17.0)","statnet.common, methods","network","testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"NMF","NMF","/home/jupyter/.R/library","0.24.0",NA,"R (>= 3.0.0), methods, utils, pkgmaker (>= 0.20), registry,
rngtools (>= 1.2.3), cluster","graphics, stats, stringr (>= 1.0.0), digest, grid, grDevices,
gridBase, colorspace, RColorBrewer, foreach, doParallel,
ggplot2, reshape2, BiocManager, Biobase",NA,"fastICA, doMPI, bigmemory (>= 4.2), synchronicity(>= 1.3.2),
corpcor, xtable, devtools, knitr, RUnit, mail",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"numDeriv","numDeriv","/home/jupyter/.R/library","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.1"
"org.Hs.eg.db","org.Hs.eg.db","/home/jupyter/.R/library","3.15.0",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.57.1)",NA,NA,"DBI, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"org.Rn.eg.db","org.Rn.eg.db","/home/jupyter/.R/library","3.15.0",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.57.1)",NA,NA,"DBI, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"patchwork","patchwork","/home/jupyter/.R/library","1.1.2",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"pathview","pathview","/home/jupyter/.R/library","1.36.1",NA,"R (>= 3.5.0)","KEGGgraph, XML, Rgraphviz, graph, png, AnnotationDbi,
org.Hs.eg.db, KEGGREST, methods, utils",NA,"gage, org.Mm.eg.db, RUnit, BiocGenerics",NA,"GPL (>=3.0)",NA,NA,NA,NA,"no","4.2.1"
"pheatmap","pheatmap","/home/jupyter/.R/library","1.0.12",NA,"R (>= 2.0)","grid, RColorBrewer, scales, gtable, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.1"
"pkgmaker","pkgmaker","/home/jupyter/.R/library","0.32.2",NA,"R (>= 3.0.0), methods, stats, registry","tools, grDevices, utils, graphics, codetools, digest, stringr,
xtable, withr, assertthat",NA,"devtools (>= 0.8), roxygen2, RUnit, testthat, knitr,
rmarkdown, markdown, yaml, Biobase, datasets, rbibutils (>=
1.3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"plogr","plogr","/home/jupyter/.R/library","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"plotrix","plotrix","/home/jupyter/.R/library","3.8-2",NA,"R (>= 3.5.0)","grDevices, graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"polyclip","polyclip","/home/jupyter/.R/library","1.10-0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","4.2.1"
"preprocessCore","preprocessCore","/home/jupyter/.R/library","1.58.0",NA,NA,"stats",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"proxy","proxy","/home/jupyter/.R/library","0.4-27",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.1"
"quantreg","quantreg","/home/jupyter/.R/library","5.94",NA,"R (>= 3.5), stats, SparseM","methods, graphics, Matrix, MatrixModels, survival, MASS",NA,"tripack, interp, rgl, logspline, nor1mix, Formula, zoo,
R.rsp, conquer",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"qvalue","qvalue","/home/jupyter/.R/library","2.28.0",NA,"R(>= 2.10)","splines, ggplot2, grid, reshape2",NA,"knitr",NA,"LGPL",NA,NA,NA,NA,"no","4.2.1"
"R.methodsS3","R.methodsS3","/home/jupyter/.R/library","1.8.2",NA,"R (>= 2.13.0)","utils",NA,"codetools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.1"
"R.oo","R.oo","/home/jupyter/.R/library","1.25.0",NA,"R (>= 2.13.0), R.methodsS3 (>= 1.8.1)","methods, utils",NA,"tools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.1"
"R.utils","R.utils","/home/jupyter/.R/library","2.12.0",NA,"R (>= 2.14.0), R.oo (>= 1.24.0)","methods, utils, tools, R.methodsS3 (>= 1.8.1)",NA,"datasets, digest (>= 0.6.10)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.1"
"RcppArmadillo","RcppArmadillo","/home/jupyter/.R/library","0.11.2.4.0",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.0), stats, utils, methods","Rcpp","tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"RcppEigen","RcppEigen","/home/jupyter/.R/library","0.3.3.9.2",NA,NA,"Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils","Rcpp","inline, tinytest, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"registry","registry","/home/jupyter/.R/library","0.5-1",NA,"R (>= 2.6.0)","utils",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.1"
"reshape2","reshape2","/home/jupyter/.R/library","1.4.4",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"restfulr","restfulr","/home/jupyter/.R/library","0.0.15",NA,"R (>= 3.4.0), methods","XML, RCurl, rjson, S4Vectors (>= 0.13.15), yaml",NA,"getPass, rsolr, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.1"
"Rgraphviz","Rgraphviz","/home/jupyter/.R/library","2.40.0",NA,"R (>= 2.6.0), methods, utils, graph, grid","stats4, graphics, grDevices",NA,"RUnit, BiocGenerics, XML",NA,"EPL",NA,NA,NA,NA,"yes","4.2.1"
"Rhtslib","Rhtslib","/home/jupyter/.R/library","1.28.0",NA,NA,"zlibbioc","zlibbioc","knitr, rmarkdown, BiocStyle",NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"rjson","rjson","/home/jupyter/.R/library","0.2.21",NA,"R (>= 4.0.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.1"
"rlang","rlang","/home/jupyter/.R/library","1.0.6",NA,"R (>= 3.4.0)","utils",NA,"cli (>= 3.1.0), covr, crayon, fs, glue, knitr, magrittr,
methods, pillar, rmarkdown, stats, testthat (>= 3.0.0), tibble,
usethis, vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"rle","rle","/home/jupyter/.R/library","0.9.2",NA,"R (>= 3.5)","methods",NA,"covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"Rmpi","Rmpi","/home/jupyter/.R/library","0.6-9.2",NA,"R (>= 2.15.1)","parallel",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"rngtools","rngtools","/home/jupyter/.R/library","1.5.2",NA,"R (>= 3.2.0), methods","digest, utils, stats, parallel",NA,"covr, RUnit, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"robustbase","robustbase","/home/jupyter/.R/library","0.95-0",NA,"R (>= 3.5.0)","stats, graphics, utils, methods, DEoptimR",NA,"grid, MASS, lattice, boot, cluster, Matrix, robust,
fit.models, MPV, xtable, ggplot2, GGally, RColorBrewer,
reshape2, sfsmisc, catdata, doParallel, foreach, skewt","robustX, rrcov, matrixStats, quantreg, Hmisc","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"Rsamtools","Rsamtools","/home/jupyter/.R/library","2.12.0",NA,"methods, GenomeInfoDb (>= 1.1.3), GenomicRanges (>= 1.31.8),
Biostrings (>= 2.47.6), R (>= 3.5.0)","utils, BiocGenerics (>= 0.25.1), S4Vectors (>= 0.17.25),
IRanges (>= 2.13.12), XVector (>= 0.19.7), zlibbioc, bitops,
BiocParallel, stats","Rhtslib (>= 1.17.7), S4Vectors, IRanges, XVector, Biostrings","GenomicAlignments, ShortRead (>= 1.19.10), GenomicFeatures,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
TxDb.Hsapiens.UCSC.hg18.knownGene, RNAseqData.HNRNPC.bam.chr14,
BSgenome.Hsapiens.UCSC.hg19, RUnit, BiocStyle",NA,"Artistic-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"RSQLite","RSQLite","/home/jupyter/.R/library","2.2.17",NA,"R (>= 3.1.0)","bit64, blob (>= 1.2.0), DBI (>= 1.1.0), memoise, methods,
pkgconfig, Rcpp (>= 1.0.7)","plogr (>= 0.2.0), Rcpp","callr, DBItest (>= 1.7.0), gert, gh, knitr, rmarkdown, hms,
rvest, testthat, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","4.2.1"
"rtracklayer","rtracklayer","/home/jupyter/.R/library","1.56.1",NA,"R (>= 3.5.0), methods, GenomicRanges (>= 1.37.2)","XML (>= 1.98-0), BiocGenerics (>= 0.35.3), S4Vectors (>=
0.23.18), IRanges (>= 2.13.13), XVector (>= 0.19.7),
GenomeInfoDb (>= 1.15.2), Biostrings (>= 2.47.6), zlibbioc,
RCurl (>= 1.4-2), Rsamtools (>= 1.31.2), GenomicAlignments (>=
1.15.6), BiocIO, tools, restfulr (>= 0.0.13)","S4Vectors, IRanges, XVector","BSgenome (>= 1.33.4), humanStemCell, microRNA (>= 1.1.1),
genefilter, limma, org.Hs.eg.db, hgu133plus2.db,
GenomicFeatures, BSgenome.Hsapiens.UCSC.hg19,
TxDb.Hsapiens.UCSC.hg19.knownGene, RUnit",NA,"Artistic-2.0 + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"RUnit","RUnit","/home/jupyter/.R/library","0.4.32",NA,"R (>= 2.5.0), utils (>= 2.5.0), methods (>= 2.5.0), graphics
(>= 2.5.0)",NA,NA,"XML (>= 3.1.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.1"
"s2","s2","/home/jupyter/.R/library","1.1.0",NA,"R (>= 3.0.0)","Rcpp, wk (>= 0.6.0)","Rcpp, wk","testthat (>= 3.0.0), vctrs",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"yes","4.2.1"
"S4Vectors","S4Vectors","/home/jupyter/.R/library","0.34.0",NA,"R (>= 4.0.0), methods, utils, stats, stats4, BiocGenerics (>=
0.37.0)",NA,NA,"IRanges, GenomicRanges, SummarizedExperiment, Matrix,
DelayedArray, ShortRead, graph, data.table, RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.1"
"sandwich","sandwich","/home/jupyter/.R/library","3.0-2",NA,"R (>= 3.0.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lme4, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.1"
"scatterpie","scatterpie","/home/jupyter/.R/library","0.1.8",NA,"R (>= 3.4.0), ggplot2","ggforce, rlang, ggfun, stats, tidyr, utils",NA,"knitr, rmarkdown, prettydoc, maps, scales",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"seqPattern","seqPattern","/home/jupyter/.R/library","1.28.0",NA,"methods, R (>= 2.15.0)","Biostrings, GenomicRanges, IRanges, KernSmooth, plotrix",NA,"BSgenome.Drerio.UCSC.danRer7, CAGEr, RUnit, BiocGenerics,
BiocStyle","parallel","GPL-3",NA,NA,NA,NA,"no","4.2.1"
"shadowtext","shadowtext","/home/jupyter/.R/library","0.1.2",NA,"R (>= 3.4.0)","ggplot2, grid, scales",NA,"knitr, rmarkdown, prettydoc",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"sna","sna","/home/jupyter/.R/library","2.7",NA,"R (>= 2.0.0), utils, statnet.common, network",NA,NA,"rgl, numDeriv, SparseM",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"snow","snow","/home/jupyter/.R/library","0.4-4",NA,"R (>= 2.13.1), utils",NA,NA,"rlecuyer","Rmpi","GPL",NA,NA,NA,NA,"no","4.2.1"
"SparseM","SparseM","/home/jupyter/.R/library","1.81",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"statnet","statnet","/home/jupyter/.R/library","2019.6",NA,"R (>= 3.5), tergm (>= 3.6.1), ergm.count (>= 3.3), sna (>=
2.4), tsna (>= 0.3)","ergm (>= 3.10.4), network (>= 1.15), networkDynamic (>=
0.10.0), statnet.common (>= 4.2)",NA,"ergm.rank (>= 1.2.0), ergm.ego (>= 0.5), EpiModel (>= 1.7.2),
degreenet (>= 1.3-3), latentnet (>= 2.9.0), networksis (>=
2.1-3), relevent (>= 1.0-4), ndtv (>= 0.13.0)",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"statnet.common","statnet.common","/home/jupyter/.R/library","4.7.0",NA,"R (>= 3.5)","utils, methods, coda, parallel, tools",NA,"covr",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"SummarizedExperiment","SummarizedExperiment","/home/jupyter/.R/library","1.26.1",NA,"R (>= 4.0.0), methods, MatrixGenerics (>= 1.1.3),
GenomicRanges (>= 1.41.5), Biobase","utils, stats, tools, Matrix, BiocGenerics (>= 0.37.0),
S4Vectors (>= 0.33.7), IRanges (>= 2.23.9), GenomeInfoDb (>=
1.13.1), DelayedArray (>= 0.15.10)",NA,"HDF5Array (>= 1.7.5), annotate, AnnotationDbi, hgu95av2.db,
GenomicFeatures, TxDb.Hsapiens.UCSC.hg19.knownGene, jsonlite,
rhdf5, airway (>= 1.15.1), BiocStyle, knitr, rmarkdown, RUnit,
testthat, digest",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"svglite","svglite","/home/jupyter/.R/library","2.1.0",NA,"R (>= 3.0.0)","systemfonts (>= 1.0.0)","cpp11, systemfonts","htmltools, testthat, xml2 (>= 1.0.0), covr, fontquiver (>=
0.2.0), knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"synchronicity","synchronicity","/home/jupyter/.R/library","1.3.5",NA,NA,"methods, bigmemory.sri, Rcpp, uuid","BH, Rcpp",NA,NA,"LGPL-2 | Apache License 2.0",NA,NA,NA,NA,"yes","4.2.1"
"tergm","tergm","/home/jupyter/.R/library","4.1.0",NA,"ergm (>= 4.2.2), network (>= 1.15), networkDynamic (>= 0.10.0)","methods, utils, robustbase (>= 0.93.5), coda (>= 0.19.2), nlme
(>= 3.1.139), MASS (>= 7.3.51.4), statnet.common (>= 4.4.0),
purrr","ergm","lattice (>= 0.20.38), parallel, rmarkdown (>= 1.12), knitr
(>= 1.22), tibble, testthat, covr",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"TH.data","TH.data","/home/jupyter/.R/library","1.1-1",NA,"R (>= 3.5.0), survival, MASS",NA,NA,"dplyr, gdata, plyr, trtf, tram, rms, coin, ATR, multcomp,
gridExtra, vcd, colorspace, lattice, knitr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"tidytree","tidytree","/home/jupyter/.R/library","0.4.1",NA,"R (>= 3.4.0)","ape, dplyr, lazyeval, magrittr, methods, rlang, tibble, tidyr,
tidyselect, yulab.utils (>= 0.0.4), pillar",NA,"knitr, rmarkdown, prettydoc, testthat, utils",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"tidyverse","tidyverse","/home/jupyter/.R/library","1.3.2",NA,"R (>= 3.3)","broom (>= 0.7.10), cli (>= 3.1.0), crayon (>= 1.4.2), dbplyr
(>= 2.1.1), dplyr (>= 1.0.7), dtplyr (>= 1.2.0), forcats (>=
0.5.1), ggplot2 (>= 3.3.5), googledrive (>= 2.0.0),
googlesheets4 (>= 1.0.0), haven (>= 2.4.3), hms (>= 1.1.1),
httr (>= 1.4.2), jsonlite (>= 1.7.2), lubridate (>= 1.8.0),
magrittr (>= 2.0.1), modelr (>= 0.1.8), pillar (>= 1.6.4),
purrr (>= 0.3.4), readr (>= 2.1.1), readxl (>= 1.3.1), reprex
(>= 2.0.1), rlang (>= 0.4.12), rstudioapi (>= 0.13), rvest (>=
1.0.2), stringr (>= 1.4.0), tibble (>= 3.1.6), tidyr (>=
1.1.4), xml2 (>= 1.3.3)",NA,"covr, feather, glue, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"treeio","treeio","/home/jupyter/.R/library","1.20.2",NA,"R (>= 3.6.0)","ape, dplyr, jsonlite, magrittr, methods, rlang, tibble,
tidytree (>= 0.3.9), utils",NA,"Biostrings, ggplot2, ggtree, igraph, knitr, rmarkdown,
phangorn, prettydoc, testthat, tidyr, vroom, xml2, yaml",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"trust","trust","/home/jupyter/.R/library","0.1-8",NA,"R (>= 2.10.0)","stats",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"tsna","tsna","/home/jupyter/.R/library","0.3.5",NA,"network (>= 1.13), networkDynamic (>= 0.9), R (>= 3.0)","statnet.common",NA,"networkDynamicData, testthat, sna, knitr, rmarkdown,
relevent, ergm (>= 3.10)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"tweenr","tweenr","/home/jupyter/.R/library","2.0.2",NA,"R (>= 3.2.0)","farver, magrittr, rlang, vctrs","cpp11 (>= 0.4.2)","testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"vdiffr","vdiffr","/home/jupyter/.R/library","1.0.4",NA,"R (>= 3.2.0)","diffobj, glue, grDevices, htmltools, lifecycle, rlang,
testthat (>= 3.0.3), xml2 (>= 1.0.0)","cpp11","covr, ggplot2 (>= 3.2.0), roxygen2, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"vsn","vsn","/home/jupyter/.R/library","3.64.0",NA,"R (>= 4.0.0), methods, Biobase","affy, limma, lattice, ggplot2",NA,"affydata, hgu95av2cdf, BiocStyle, knitr, rmarkdown, dplyr,
testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.1"
"XVector","XVector","/home/jupyter/.R/library","0.36.0",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.23.9)","methods, utils, tools, zlibbioc, BiocGenerics, S4Vectors,
IRanges","S4Vectors, IRanges","Biostrings, drosophila2probe, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.1"
"yulab.utils","yulab.utils","/home/jupyter/.R/library","0.0.5",NA,NA,"utils",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"zlibbioc","zlibbioc","/home/jupyter/.R/library","1.42.0",NA,NA,NA,NA,NA,NA,"Artistic-2.0 + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"zoo","zoo","/home/jupyter/.R/library","1.8-11",NA,"R (>= 3.1.0), stats","utils, graphics, grDevices, lattice (>= 0.20-27)",NA,"AER, coda, chron, ggplot2 (>= 3.0.0), mondate, scales,
stinepack, strucchange, timeDate, timeSeries, tis, tseries, xts",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"askpass","askpass","/usr/local/lib/R/site-library","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"assertthat","assertthat","/usr/local/lib/R/site-library","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"backports","backports","/usr/local/lib/R/site-library","1.4.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"base64enc","base64enc","/usr/local/lib/R/site-library","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"bigQueryR","bigQueryR","/usr/local/lib/R/site-library","0.5.0",NA,"R (>= 3.3)","googleAuthR (>= 1.1.1), googleCloudStorageR (>= 0.2.0),
jsonlite (>= 1.0), httr (>= 1.2.1), assertthat",NA,"shiny (>= 0.12.1), knitr, rmarkdown, testthat, data.table,
purrr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
